beds,city,date,size,type,baths,price,neighborhood,avg_size,total_rooms
3,10,2025-02-19,2120-2900 sqft,18,2,12300000.0,50,2510.0,5
2,10,2025-02-19,833.98-1583.45 sqft,9,2,4200000.0,207,,4
3,10,2025-02-19,1392.31-1566 sqft,15,2,5846000.0,50,,5
3,10,2025-02-19,1927.91-2737.18 sqft,18,2,28900000.0,17,,5
3,10,2025-02-19,1344-1456 sqft,15,2,6182000.0,93,1400.0,5
3,10,2025-02-19,1445.36-1932.63 sqft,18,2,7225000.0,50,,5
3,18,2025-02-19,1925 sqft,16,3,29800000.0,158,1925.0,6
0,18,2025-02-19,6458 sqft,44,0,270000000.0,14,6458.0,0
3,18,2025-02-19,Varies,20,0,29500000.0,156,,3
3,18,2025-02-19,Varies,18,0,73000000.0,162,,3
3,18,2025-02-19,Varies,18,0,25900000.0,159,,3
2,18,2025-02-19,Varies,14,0,18000000.0,161,,2
3,18,2025-02-19,Varies,18,0,26500000.0,166,,3
3,18,2025-02-19,Varies,18,0,59500000.0,163,,3
3,18,2025-02-19,Varies,18,0,23000000.0,222,,3
3,18,2025-02-19,Varies,20,0,81700000.0,169,,3
0,19,2025-02-19,1200 sqft,44,0,1558000.0,13,1200.0,0
0,19,2025-02-19,2400 sqft,44,0,5520000.0,179,2400.0,0
0,0,2w ago,99000 sqft,44,0,600000000.0,53,99000.0,0
5,0,3w ago,3753 sqft,31,2,41700000.0,27,3753.0,7
3,0,2mo ago,1883 sqft,16,3,11000000.0,191,1883.0,6
2,0,2mo ago,968 sqft,6,2,5200000.0,173,968.0,4
3,0,2mo ago,1705 sqft,16,3,8200000.0,29,1705.0,6
2,0,1mo ago,894 sqft,6,2,4000000.0,86,894.0,4
3,0,2mo ago,2367 sqft,17,3,31500000.0,29,2367.0,6
0,0,3mo ago,3229 sqft,44,0,25000000.0,173,3229.0,0
0,0,1w ago,11997 sqft,44,0,27000000.0,29,11997.0,0
4,0,3mo ago,1250 sqft,26,3,5200000.0,171,1250.0,7
0,24,2025-02-19T04:38:35.432Z,3600 sqft,44,0,12000000.0,28,3600.0,0
4,24,2025-02-19T04:38:35.432Z,2403 sqft,26,4,19500000.0,72,2403.0,8
4,24,2025-02-19T04:38:35.432Z,2800 sqft,26,1,12000000.0,79,2800.0,5
0,24,2025-02-19T04:38:35.432Z,3600 sqft,44,0,11000000.0,4,3600.0,0
0,24,2025-02-19T04:38:35.432Z,11325 sqft,44,0,10000000.0,113,11325.0,0
0,7,2025-02-19T04:38:35.432Z,58806 sqft,44,0,10000000.0,154,58806.0,0
